SN,DF,IH,R,LP,IW,H,TYPE
CPS 015,15,10,18,117,6,56,CPS
CPS 015,15,10,18,117,10,56,CPS
CPS 015,15,10,18,117,15,56,CPS
CPS 015,15,10,18,117,20,56,CPS
CPS 015,15,10,28,148,6,76,CPS
CPS 015,15,10,28,148,10,76,CPS
CPS 015,15,10,28,148,15,76,CPS
CPS 015,15,10,28,148,20,76,CPS
CPS 015,15,10,38,180,6,96,CPS
CPS 015,15,10,38,180,10,96,CPS
CPS 015,15,10,38,180,15,96,CPS
CPS 015,15,10,38,180,20,96,CPS
CPS 020,20,14.5,28,170,15,85,CPS
CPS 020,20,14.5,28,170,20,85,CPS
CPS 020,20,14.5,28,170,30,85,CPS
CPS 020,20,14.5,28,170,40,85,CPS
CPS 020,20,14.5,38,200,15,105,CPS
CPS 020,20,14.5,38,200,20,105,CPS
CPS 020,20,14.5,38,200,30,105,CPS
CPS 020,20,14.5,38,200,40,105,CPS
CPS 020,20,14.5,48,230,15,125,CPS
CPS 020,20,14.5,48,230,20,125,CPS
CPS 020,20,14.5,48,230,30,125,CPS
CPS 020,20,14.5,48,230,40,125,CPS
CPS 030,30,19,38,240,15,114,CPS
CPS 030,30,19,38,240,25,114,CPS
CPS 030,30,19,38,240,35,114,CPS
CPS 030,30,19,38,240,50,114,CPS
CPS 030,30,19,48,271,15,134,CPS
CPS 030,30,19,48,271,25,134,CPS
CPS 030,30,19,48,271,35,134,CPS
CPS 030,30,19,48,271,50,134,CPS
CPS 030,30,19,75,356,15,188,CPS
CPS 030,30,19,75,356,25,188,CPS
CPS 030,30,19,75,356,35,188,CPS
CPS 030,30,19,75,356,50,188,CPS
CPS 030,30,19,100,434,15,238,CPS
CPS 030,30,19,100,434,25,238,CPS
CPS 030,30,19,100,434,35,238,CPS
CPS 030,30,19,100,434,50,238,CPS
CPS 033,33,23,35,242,27,116,CPS
CPS 033,33,23,35,242,37,116,CPS
CPS 033,33,23,35,242,47,116,CPS
CPS 033,33,23,35,242,67,116,CPS
CPS 033,33,23,35,242,77,116,CPS
CPS 033,33,23,45,274,27,136,CPS
CPS 033,33,23,45,274,37,136,CPS
CPS 033,33,23,45,274,47,136,CPS
CPS 033,33,23,45,274,67,136,CPS
CPS 033,33,23,45,274,77,136,CPS
CPS 033,33,23,75,368,27,196,CPS
CPS 033,33,23,75,368,37,196,CPS
CPS 033,33,23,75,368,47,196,CPS
CPS 033,33,23,75,368,67,196,CPS
CPS 033,33,23,75,368,77,196,CPS
CPS 033,33,23,100,446,27,246,CPS
CPS 033,33,23,100,446,37,246,CPS
CPS 033,33,23,100,446,47,246,CPS
CPS 033,33,23,100,446,67,246,CPS
CPS 033,33,23,100,446,77,246,CPS
CPS 033,33,23,120,509,27,286,CPS
CPS 033,33,23,120,509,37,286,CPS
CPS 033,33,23,120,509,47,286,CPS
CPS 033,33,23,120,509,67,286,CPS
CPS 033,33,23,120,509,77,286,CPS
ST 044N,44,26,50,333,35,152,STN
ST 044N,44,26,50,333,50,152,STN
ST 044N,44,26,50,333,55,152,STN
ST 044N,44,26,50,333,75,152,STN
ST 044N,44,26,50,333,100,152,STN
ST 044N,44,26,50,333,125,152,STN
ST 044N,44,26,50,333,150,152,STN
ST 044N,44,26,50,333,175,152,STN
ST 044N,44,26,50,333,200,152,STN
ST 044N,44,26,70,396,35,192,STN
ST 044N,44,26,70,396,50,192,STN
ST 044N,44,26,70,396,55,192,STN
ST 044N,44,26,70,396,75,192,STN
ST 044N,44,26,70,396,100,192,STN
ST 044N,44,26,70,396,125,192,STN
ST 044N,44,26,70,396,150,192,STN
ST 044N,44,26,70,396,175,192,STN
ST 044N,44,26,70,396,200,192,STN
ST 044N,44,26,90,459,35,232,STN
ST 044N,44,26,90,459,50,232,STN
ST 044N,44,26,90,459,55,232,STN
ST 044N,44,26,90,459,75,232,STN
ST 044N,44,26,90,459,100,232,STN
ST 044N,44,26,90,459,125,232,STN
ST 044N,44,26,90,459,150,232,STN
ST 044N,44,26,90,459,175,232,STN
ST 044N,44,26,90,459,200,232,STN
ST 044N,44,26,120,553,35,292,STN
ST 044N,44,26,120,553,50,292,STN
ST 044N,44,26,120,553,55,292,STN
ST 044N,44,26,120,553,75,292,STN
ST 044N,44,26,120,553,100,292,STN
ST 044N,44,26,120,553,125,292,STN
ST 044N,44,26,120,553,150,292,STN
ST 044N,44,26,120,553,175,292,STN
ST 044N,44,26,120,553,200,292,STN
ST 044N,44,26,150,648,35,352,STN
ST 044N,44,26,150,648,50,352,STN
ST 044N,44,26,150,648,55,352,STN
ST 044N,44,26,150,648,75,352,STN
ST 044N,44,26,150,648,100,352,STN
ST 044N,44,26,150,648,125,352,STN
ST 044N,44,26,150,648,150,352,STN
ST 044N,44,26,150,648,175,352,STN
ST 044N,44,26,150,648,200,352,STN
ST 055N,55,40,65,424,35,210,STN
ST 055N,55,40,65,424,50,210,STN
ST 055N,55,40,65,424,55,210,STN
ST 055N,55,40,65,424,75,210,STN
ST 055N,55,40,65,424,100,210,STN
ST 055N,55,40,65,424,125,210,STN
ST 055N,55,40,65,424,150,210,STN
ST 055N,55,40,65,424,175,210,STN
ST 055N,55,40,65,424,200,210,STN
ST 055N,55,40,75,456,35,230,STN
ST 055N,55,40,75,456,50,230,STN
ST 055N,55,40,75,456,55,230,STN
ST 055N,55,40,75,456,75,230,STN
ST 055N,55,40,75,456,100,230,STN
ST 055N,55,40,75,456,125,230,STN
ST 055N,55,40,75,456,150,230,STN
ST 055N,55,40,75,456,175,230,STN
ST 055N,55,40,75,456,200,230,STN
ST 055N,55,40,100,535,35,280,STN
ST 055N,55,40,100,535,50,280,STN
ST 055N,55,40,100,535,55,280,STN
ST 055N,55,40,100,535,75,280,STN
ST 055N,55,40,100,535,100,280,STN
ST 055N,55,40,100,535,125,280,STN
ST 055N,55,40,100,535,150,280,STN
ST 055N,55,40,100,535,175,280,STN
ST 055N,55,40,100,535,200,280,STN
ST 055N,55,40,125,613,35,330,STN
ST 055N,55,40,125,613,50,330,STN
ST 055N,55,40,125,613,55,330,STN
ST 055N,55,40,125,613,75,330,STN
ST 055N,55,40,125,613,100,330,STN
ST 055N,55,40,125,613,125,330,STN
ST 055N,55,40,125,613,150,330,STN
ST 055N,55,40,125,613,175,330,STN
ST 055N,55,40,125,613,200,330,STN
ST 055N,55,40,150,692,35,380,STN
ST 055N,55,40,150,692,50,380,STN
ST 055N,55,40,150,692,55,380,STN
ST 055N,55,40,150,692,75,380,STN
ST 055N,55,40,150,692,100,380,STN
ST 055N,55,40,150,692,125,380,STN
ST 055N,55,40,150,692,150,380,STN
ST 055N,55,40,150,692,175,380,STN
ST 055N,55,40,150,692,200,380,STN
ST 055N,55,40,200,849,35,480,STN
ST 055N,55,40,200,849,50,480,STN
ST 055N,55,40,200,849,55,480,STN
ST 055N,55,40,200,849,75,480,STN
ST 055N,55,40,200,849,100,480,STN
ST 055N,55,40,200,849,125,480,STN
ST 055N,55,40,200,849,150,480,STN
ST 055N,55,40,200,849,175,480,STN
ST 055N,55,40,200,849,200,480,STN
ST 072N,72,45,72,514,50,234,STN
ST 072N,72,45,72,514,75,234,STN
ST 072N,72,45,72,514,100,234,STN
ST 072N,72,45,72,514,125,234,STN
ST 072N,72,45,72,514,140,234,STN
ST 072N,72,45,72,514,150,234,STN
ST 072N,72,45,72,514,165,234,STN
ST 072N,72,45,72,514,175,234,STN
ST 072N,72,45,72,514,190,234,STN
ST 072N,72,45,72,514,200,234,STN
ST 072N,72,45,72,514,240,234,STN
ST 072N,72,45,72,514,250,234,STN
ST 072N,72,45,72,514,300,234,STN
ST 072N,72,45,100,603,50,290,STN
ST 072N,72,45,100,603,75,290,STN
ST 072N,72,45,100,603,100,290,STN
ST 072N,72,45,100,603,125,290,STN
ST 072N,72,45,100,603,140,290,STN
ST 072N,72,45,100,603,150,290,STN
ST 072N,72,45,100,603,165,290,STN
ST 072N,72,45,100,603,175,290,STN
ST 072N,72,45,100,603,190,290,STN
ST 072N,72,45,100,603,200,290,STN
ST 072N,72,45,100,603,240,290,STN
ST 072N,72,45,100,603,250,290,STN
ST 072N,72,45,100,603,300,290,STN
ST 072N,72,45,120,665,50,330,STN
ST 072N,72,45,120,665,75,330,STN
ST 072N,72,45,120,665,100,330,STN
ST 072N,72,45,120,665,125,330,STN
ST 072N,72,45,120,665,140,330,STN
ST 072N,72,45,120,665,150,330,STN
ST 072N,72,45,120,665,165,330,STN
ST 072N,72,45,120,665,175,330,STN
ST 072N,72,45,120,665,190,330,STN
ST 072N,72,45,120,665,200,330,STN
ST 072N,72,45,120,665,240,330,STN
ST 072N,72,45,120,665,250,330,STN
ST 072N,72,45,120,665,300,330,STN
ST 072N,72,45,145,743,50,380,STN
ST 072N,72,45,145,743,75,380,STN
ST 072N,72,45,145,743,100,380,STN
ST 072N,72,45,145,743,125,380,STN
ST 072N,72,45,145,743,140,380,STN
ST 072N,72,45,145,743,150,380,STN
ST 072N,72,45,145,743,165,380,STN
ST 072N,72,45,145,743,175,380,STN
ST 072N,72,45,145,743,190,380,STN
ST 072N,72,45,145,743,200,380,STN
ST 072N,72,45,145,743,240,380,STN
ST 072N,72,45,145,743,250,380,STN
ST 072N,72,45,145,743,300,380,STN
ST 072N,72,45,200,916,50,490,STN
ST 072N,72,45,200,916,75,490,STN
ST 072N,72,45,200,916,100,490,STN
ST 072N,72,45,200,916,125,490,STN
ST 072N,72,45,200,916,140,490,STN
ST 072N,72,45,200,916,150,490,STN
ST 072N,72,45,200,916,165,490,STN
ST 072N,72,45,200,916,175,490,STN
ST 072N,72,45,200,916,190,490,STN
ST 072N,72,45,200,916,200,490,STN
ST 072N,72,45,200,916,240,490,STN
ST 072N,72,45,200,916,250,490,STN
ST 072N,72,45,200,916,300,490,STN
ST 072N,72,45,250,1074,50,590,STN
ST 072N,72,45,250,1074,75,590,STN
ST 072N,72,45,250,1074,100,590,STN
ST 072N,72,45,250,1074,125,590,STN
ST 072N,72,45,250,1074,140,590,STN
ST 072N,72,45,250,1074,150,590,STN
ST 072N,72,45,250,1074,165,590,STN
ST 072N,72,45,250,1074,175,590,STN
ST 072N,72,45,250,1074,190,590,STN
